distance(km),height(m),distance(km),height(m)
11.670057,712.6134,11.669858,372.39783
11.729712,698.17395,11.729963,373.3103
11.789391,686.69043,11.789618,370.84564
11.849681,673.05774,11.84978,370.83063
11.909937,656.60669,11.910124,371.32861
11.96974,643.62982,11.969946,370.17712
12.029677,631.59192,12.029779,367.87119
12.089701,623.02325,12.089418,365.7558
12.14972,618.79657,12.149681,359.76578
12.209794,615.61603,12.210224,353.87418
12.269567,611.18005,12.26979,352.83554
12.329391,606.99188,12.329218,351.31897
12.389737,602.25922,12.389709,349.58218
12.449852,601.30133,12.450304,347.49561
12.509488,599.71893,12.509973,344.52139
12.569354,601.01117,12.569218,343.13571
12.629668,599.46027,12.62945,338.90765
12.690019,599.54913,12.690351,334.70715
12.749615,597.38202,12.750205,329.49725
12.809155,593.47217,12.809336,326.66223
12.869462,587.83264,12.86941,321.59488
12.929905,589.45416,12.930108,316.92819
12.989889,591.83398,12.990135,308.34677
13.049417,597.35889,13.049548,301.77246
13.109409,595.3725,13.109636,294.78931
13.169759,596.24292,13.170196,286.9924
13.229707,590.73456,13.230112,278.90045
13.289523,585.88281,13.289633,272.71744
13.349705,575.92584,13.3498,266.58014
13.409735,569.9007,13.410256,267.03485
13.469621,564.50153,13.470185,267.61832
13.52977,561.97284,13.529902,268.11966
13.589931,549.45581,13.589891,261.35852
13.649909,543.62854,13.650257,256.64362
13.70962,534.36371,13.710231,258.52798
13.769483,531.05237,13.769802,263.76587
13.829758,526.24878,13.829836,262.02374
13.889962,526.35181,13.890126,258.34058
13.949915,523.41791,13.950348,255.13203
14.00965,520.84637,14.009893,248.60864
14.069527,513.07001,14.069517,245.91875
14.129892,509.77322,14.130142,240.02237
14.189968,499.04044,14.190459,234.4682
14.249734,491.07468,14.24981,227.10265
14.309382,482.80997,14.308922,219.33517
14.369489,475.21329,14.369632,211.60919
14.429794,472.9213,14.43051,206.30186
14.489672,465.56595,14.490091,202.48856
14.549513,453.69696,14.549442,200.8562
14.609563,440.08682,14.609709,198.05696
14.669847,431.23093,14.670585,197.87961
14.729658,425.51971,14.730106,193.3768
14.789465,415.84894,14.789218,186.51372
14.849579,400.42813,14.849619,175.34253
14.909716,391.09155,14.910234,171.56941
14.969758,377.38077,14.970078,165.64885
15.029595,362.4747,15.029697,160.13487
15.089598,350.23505,15.089876,154.14803
15.149777,338.69617,15.150223,151.24483
15.209802,325.245,15.210192,147.61688
15.269691,313.81174,15.269652,137.7312
15.329701,300.08963,15.329782,130.07408
15.389729,290.97275,15.390326,124.92391
15.449688,282.45044,15.450228,118.95879
15.509741,273.70212,15.509877,111.18182
15.569801,266.23972,15.569907,104.38758
15.629796,259.0451,15.630368,100.56573
15.689675,249.57057,15.690274,97.118866
15.749525,239.62187,15.749722,91.2407
15.809715,226.81375,15.809714,84.098816
15.869935,215.91692,15.870248,76.334045
15.929843,204.82779,15.930352,70.345352
15.989622,196.52611,15.989834,66.706329
16.049654,190.142,16.04973,63.643703
16.109818,183.78465,16.110132,60.798931
16.169882,176.73093,16.170418,55.630554
16.2297,168.57948,16.229969,49.809212
16.289421,158.72664,16.28911,44.7146
16.349602,151.38629,16.349661,42.802921
16.409748,147.23293,16.410337,41.51535
16.469645,144.28857,16.469866,43.575134
16.529469,138.97382,16.529217,45.189846
16.589567,133.66501,16.5896,46.356693
16.649784,126.21966,16.650473,46.450218
16.709652,120.88666,16.710011,47.782036
